name,uic_ref
Aarau,8502113
Arth-Goldau,8505004
Basel Bad Bf,8500090
Basel Bad Bf,8014431
Basel SBB,8500010
Bellinzona,8505213
Bern,8507000
Biel/Bienne,8504300
Brig,8501609
Brugg AG,8500309
Buchs SG,8509404
Bülach,8503400
Burgdorf,8508005
Chiasso,8505307
Chur,8509000
Delémont,8500109
Erstfeld,8505114
Flüelen,8505112
Genève,8501008
Genève-Aéroport,8501026
Göschenen,8505119
Interlaken Ost,8507492
La Chaux-de-Fonds,8504314
Lausanne,8501120
Le Locle,8504316
Lenzburg,8502119
Lugano,8505300
Luzern,8505000
Lyss,8504414
Olten,8500218
Romanshorn,8506121
Rotkreuz,8502202
Sargans,8509411
Schaffhausen,8503424
Spiez,8507483
St. Gallen,8506302
St. Margrethen,8506314
Vevey,8501200
Visp,8501605
Weinfelden,8506105
Wil SG,8506206
Yverdon-les-Bains,8504200
Zofingen,8502001
Zug,8502204
Zürich Flughafen,8503016
Zürich HB,8503000
